,max,min
body_wt (kg),95.0,55.0
mat_11 (MPa),47708.525,0.00346
mat_12 (MPa),19477.578,0.0
mat_13 (MPa),19474.657,-0.01669
mat_22 (MPa),47836.791,0.00839
mat_23 (MPa),19475.116,-0.00101
mat_33 (MPa),47623.954,1304.9436
mat_44 (MPa),15185.033,0.0034
mat_55 (MPa),15200.645,0.00438
mat_66 (MPa),15184.421,0.00275
max_disp (mm),310.21004,0.00456
max_stress (MPa),6992.8678,34.20268
vol_frac,0.48,0.2
vox_to_surf (mm),240.757156997727,60.33054341083783
x_rot (deg),45.0,0.0
y_rot (deg),45.0,0.0
z_rot (deg),45.0,0.0
BCC,1.0,0.0
DTPMS,1.0,0.0
FCC,1.0,0.0
FLU,1.0,0.0
GYR,1.0,0.0
KEV,1.0,0.0
OCT,1.0,0.0
SC,1.0,0.0
SCH,1.0,0.0
SPP,1.0,0.0
DIA,1.0,0.0
HCG,1.0,0.0
TEG3,1.0,0.0
PSM2,1.0,0.0
RDO,1.0,0.0
DDK2,1.0,0.0
